url,nodeID,keyValuePairs
100tinta.com/home/183277-lenovo-700-25ish-core-i7-6700-34-ghz-16-gb-112-tb-gf-gtx-960,_:node75afb47c181dd4989daddd74634d4e9,"{'Max CPU Qty': '1', 'CPU': 'Intel Core i7 (6th Gen) 6700 / 3.4 GHz', 'Interface Class': 'Serial ATA', 'Capacity': '1 x 1 TB', 'Type': 'Hybrid Drive', 'Processor Main Features': 'Intel Turbo Boost Technology 2', 'CPU Qty': '1', 'Number of Cores': 'Quad-Core', 'CPU Socket': 'LGA1151 Socket', 'Max Turbo Speed': '4 GHz', 'Interface Type': 'SATA 6Gb/s', 'Chipset Type': 'Intel H170 Express', 'Spindle Speed': '7200 rpm'}"
1sourcedist.com/Product/Details/4253077,_:node9dcc268d4f5fc44b794de732b6e7daf1,"{'Mfg Catalog #': 'A1084PHC', 'Country Of Origin': 'SG', 'Green Product': 'No', 'Brand Name': 'Allen-Bradley', 'Master UPC': '88563005847', 'Package-1 Desc': 'each', 'Invoice Description': 'Micro810 USB Adapter', 'DDS Manufacturer Specs (PDF)': 'https://media.distributordatasolutions.com/IDW/Rockwell_Automation2016-09-12T18_04_41Z/11181631_specShtURL', 'UNSPSC': '32151703', 'Manufacturer Specs PDF': 'http://literature.rockwellautomation.com/idc/groups/literature/documents/um/2080-um004_-en-e.pdf', 'Manufacturer': 'Hoffman', 'Catalog Description': 'USB Adapter', 'Order in Multiples of': '1 ea (Pack Qty)', 'Package Weight': '0.07', 'Manufacturer UCC Number': '885630', 'Mfr Minimum Ord Qty': '1', '12-Digit UPC': '885630058474', 'Package-1 Qty': '1', 'UPC': '78351017074', 'Item #': '3967045', 'Mfr Name': 'Rockwell Automation', 'PGC3': '17A', 'Weight': '0.075'}"
4starelectronics.com/part_detail/AT29C102490TC,_:nodef115458d4437ed9a9544e8b37785d8e9,"{'Manufacturer:': 'Atmel', 'Last Updated:': '11/20/2017', 'Mfg Part#': 'AT29C1024-90TC', 'Qty In-Stock': 'Request a Quote or Call.', 'Part Type:': 'Flash Memory', '\xa0': '\xa0', 'Price:': 'Request Quote', 'Part ID#': 'AT29C102490TC'}"
5freehosting.com/product/1066526/,_:node6370a9b38db81ad9afdaa1c56a7485be,"{'Manufacturer': 'Apple Computer', 'Brand': 'Apple', 'Package Size': '5.8 x 1.7 x 1.7 inches', 'UPC': '880959726080', 'Model': 'ME279LL/A', 'Color': 'Silver', 'Package Weight': '1.45 pounds', 'Item Weight': '0.73 pounds', 'Units in Package': '1', 'Item Size': '5.3 x 0.29 x 0.29 inches'}"
abdofficesolutions.com/products/brand-new-toshiba-e-studio-2802am-a4-mono-laser-multifunction-copier,_:node99bb57393e7efb979bb235cf8f48d95a,"{'Paper Capacity (std / max.)': '300 sheets', 'Standard Paper Supply': '1 x\xa0 250 sheets drawer 1 x 50 sheets bypass tray', 'Maximum Paper Size': '8.5"" x 14"" or A4', 'Media Types': '-', 'Maximum Paper Weight': 'up to 120 lb.'}"
abt.com/product/45338/Lenovo-ThinkCentre-A63-Desktop-Computer-A63,_:nodeffaf6ddb4c69feab766dccc84dd4fe14,"{'Recordable DVD Drive': 'Yes', 'Operating Platform': 'PC', 'Labor Warranty': '3 Years', 'Processor Speed': '2.70 GHz', 'Graphics Card': 'ATI Radeon 3000', 'Software Included': 'Skype, Adobe Reader, Adobe Flash Player, Lenovo Password Manager, ThinkVantage Power Manager, ThinkVantage System Update, Microsoft Office 2007 (60 days trial), Norton Internet Security 2009 (30 days subscription)', 'Processor': 'AMD Sempron 140', 'System Memory (RAM)': '2GB', 'Height (inches)': '15.8""', 'Hard Drive Size': '250GB', 'Depth (inches)': '17.3""', 'Width (inches)': '6.9""', 'Operating System': 'Windows 7 Professional', 'Parts Warranty': '3 Years', 'Energy Star Qualified': 'No', 'RAM Expandable To': '4GB', 'Processor Brand': 'AMD', 'Weight (pounds)': '26 lbs', 'HDMI Output': 'No', '\xa0': '\xa0'}"
abt.com/product/45966/Apple-iPad-With-Wi-Fi-16GB-MB292LLA,_:noded45716cbbaf18bbf3b3e352eba1eac3,"{'Operating Platform': 'Mac', 'Processor Speed': '1GHz', 'Width': '7.47""', 'Processor': 'Apple A4', 'Warranty Parts': '1 Year', 'Height': '9.56""', 'Energy Star': 'Yes', 'Hard Drive Size': '16GB Flash Drive', 'Display Type': 'LED-acklit glossy widescreen Multi-Touch display with IPS technology', 'Warranty Labor': '1 Year', 'Display Size': '9.7""', 'Approximate Battery Life': 'Up To 10 Hours', 'Depth': '0.5""', 'Bluetooth Enabled': 'Yes', 'HDMI Output': 'No', 'Built In Web Cam': 'No', 'Processor Brand': 'Apple', 'Weight': '1.5 lbs', '\xa0': '\xa0'}"
abt.com/product/74347/Apple-Silver-iPad-Mini-With-Retina-Display-Wi-Fi-Cellular-16-GB-For-AT-T-MF074LLA?tab=1,_:node92636fb27be699f3cff575f035aa2392,"{'Screen Size (inches)': '7.9', 'Operating Platform': 'Apple iOS', 'Storage Capacity': '16GB', '\xa0': '\xa0', 'Wireless Capabilities': 'Wi-Fi + 4G AT&T'}"
active-robots.com/brands/microbot/computer-interfaces/micro-usb-to-serial-adapter,_:node9235f1b75ad88e1ca360a8560818855,"{'Weight': '1.4g / 0.05 oz', 'Current consumption': '13mA typ. (15mA max.)', 'Operating Temperature': '-40 Â° C to +85 Â° C', 'Operating Voltage': '5V from USB port', 'Serial Signals': 'TX, RX, RTS, CTS', 'Connector': 'USB Mini-B', 'Logical levels of I / O': 'TTL', 'Dimensions': '19x13x7mm (excluding strip connectors)'}"
aerocooler.com/vantec-nst-520s3-bk-nexstar-usb3-0-slim-sata-optical-drive-enclosure/,_:nodee9d728d6d78a77a42933bf358d4f6a,"{'Device Support:': 'Slim SATA Optical Drive', 'Dimensions:': '136 x 149 x 19 mm', 'Model:': 'NST-520S3-BK (black)', 'Internal Interface:': 'Standard Slim SATA interface', 'Device Size:': 'Slim laptop optical drive, Thickness: 12.7mm', 'Material:': 'Aluminum & Plastic', 'USB cable Length:': '660 mm (26 inches)', 'External Interface:': 'USB 3.0', 'Power:': 'USB Bus Powered'}"
alcoenergy.com/,_:node7012cd239d7a8cefec425e3e3af2d1bb,"{'Condition': 'Brand New', 'Power': '90W', 'Compatible': 'Asus F3U', 'Connector Size': '5.5 * 2.5mm', 'Output Current': '4.74A', 'Input': 'AC 100-240V, 50-60Hz (worldwide use)', 'Availability': 'In Stock', 'Payment Method': 'PayPal, Credit Card How?', 'Output Voltage': '19V', 'Note': 'Compatible with 19V, 3.42A, 65W', 'Input Voltage': 'DC 12V', 'Category:': 'Laptop Car Adapter', 'Warranty': '1 year', 'Certificates': 'CE, FCC, RoHS etc'}"
alltechtoys.com/product/390905/,_:noded413d4f6bc2715f72cae218b3abe29,"{'Package Size': '3.94 x 0.04 x 0.04 inches', 'Item Size': '0.59 x 0.43 x 0.43 inches', 'Item Weight': '0.02 pounds', 'Color': 'Silver/red', 'Manufacturer': 'SanDisk', 'Model': 'SDSDQUA-064G-U46A', 'UPC': '778890687174', 'Units in Package': '1', 'Package Weight': '0.09 pounds', 'Brand': 'SanDisk'}"
altex.com/Seagate-8TB-Backup-Plus-USB-30-External-Hard-Drive-w-USB-Hub-STEL8000100-P158880.aspx,_:nodeafb76d4dac077b4326cd3cd5d5301b,"{'Capacity': '8 TB', 'Dimensions': '4.646 x 1.614 x 7.799"" / 118.0 x 40.99 x 198.1 mm', 'Max Data Transfer Rate': '160 MB/s', 'Color': 'Black', 'System Requirements': 'USB 3.0 port (required for USB 3.0 transfer speeds or backwards compatible with USB 2.0) Windows 7 or higher, Mac OS X 10.9 or higher Seagate Mobile Backup app requires iOS 8 or higher, Android 3.0 or higher', 'Interface': '1 x Micro-USB 3.0 (Micro-B 10-pin) 2 x USB 3.0 Type-A', 'Weight': '2.337 lb / 1.060 kg'}"
ascendtech.us/intel-pentium-core-2-duo-2mb-sla9s-cpu_i_ltpcpinc2dsla9s.aspx?agent=pricewatch,_:node43e8054a6eef86c48d9b91c04484df,"{'L2 Cache Size': '2 MB', 'Thermal Design Power': '35 W', 'Model': 'SLA9S', 'Clock multiplier': '9', 'CPU Speed': '1.5 GHz', 'Core Stepping': '06FDh', 'Process': '65 nm', 'Thermal Specification': '100Â°C', 'Socket': '478-pin micro-FCPGA', 'Bus Speed': '667 MHz'}"
avadirect.com/4TB-BarraCuda-Pro-ST4000DM006-7200-RPM-SATA-6Gb-s-512E-128MB-cache-3-5-Inch-OEM-HDD/Product/11043433,_:node6df54c5a5e498d2308c1bbc705d55ad,"{'Height': '26.11 mm', 'Cache': '128\xa0MB', 'Perfect for': 'High performance desktop, creative pro desktop applications, gaming', 'Capacity': '4\xa0TB', 'Warranty': '5 years', 'z-height': 'Desktop or Desktop related storage only', 'Interface': 'SATA 6Gb/s', 'Performance': '7,200 RPM', 'Form Factor': '3.5 inch', 'Key Feature': 'High performance', 'New Products': 'BarraCuda Pro', 'Related Products': 'Desktop HDD'}"
avadirect.com/4TB-BarraCuda-ST4000LM024-5400-RPM-SATA-6Gb-s-128MB-cache-2-5-Inch-OEM-HDD/Product/10851329,_:nodec740274089658f7f3474e333fb1d813,"{'Model': 'ST4000LM024', 'Form Factor': '2.5""', 'Interface': 'SATA 6.0Gb/s', 'Packaging': 'Bare Drive', 'Cache': '128MB', 'Series': 'BarraCuda', 'Brand': 'Seagate', 'RPM': '5400 RPM', 'Usage': 'For Daily Computing', 'Length (maximum)': '100.35mm', 'Capacity': '4TB', 'Height (maximum)': '15mm', 'Width (maximum)': '69.85mm'}"
avadirect.com/MasterFan-Pro-Air-Balance-120mm-w-RGB-LEDs-1300-RPM-42-7-CFM-20-dBA-Cooling-Fan/Product/11137472,_:node7c7cb52556b1fa41d1f855512cf772e6,"{'Dimensions (mm)': '120 x 120 x 25 (4.7 x 4.7 x 1â³)', 'L-10 Life (hours)': '70,000', 'Connector': '4-Pin', 'Airflow (CFM)': '42.7 Â± 10%', 'Air Pressure (mmH2O)': '0.96 Â± 10%', 'Profile': 'R Mode (Red)', 'Fan Speed (RPM)': '650 ~ 1300 Â± 10%', 'Rated Current (A)': '0.07', 'Model': 'MFY-B2DN-13NPC-R1', 'Rated Voltage': '12 VDC', 'Weight': '162 g', 'UPC Code': '884102031137', 'Warranty': '5 Years', 'Fan Noise Level (dBA)': '6 ~ 20 (Max)', 'EAN Code': '4719512057766', 'Safety Current': '0.45 A', 'MTTF (hours)': '490,000'}"
backpacking-united.com/au/e-case-iseries-case-ipad-black,_:nodefede0443412572696c1b617da8a87c5,"{'': 'iPad', 'Color': 'Black, Midnight Blue, Cool Gray, Olive, Mandarin Red, Cosmic Purple', 'Material(s)': '600D Polyurethane coated Polyester and Clear PVC-free windows', 'Overall width': '9.3 in / 24 cm', 'Weight': '3 oz / 83.3 g', 'Closure': 'SealLock Zipper', 'Compartment width': '7.7 in / 20.5 cm', 'Compartment length': '10.5 in / 25 cm', 'PVC-Free': 'Yes', 'Overall length': '11.5 in / 28.5 cm', 'Country of Origin': 'MADE IN U.S.A. OF U.S. AND IMPORTED MATERIALS', 'Fits': 'ALL Apple iPad generations'}"
batteryjunction.com/duracell-mn1400b2z-2c,_:noded4d1b98f035b514c1b4cedde5cbb7fb,"{'Battery Shelf Life:': '6-8 Years', 'Battery Voltage:': '1.5', 'Return Policy:': 'Battery Junction Return Policy', 'Battery Chemistry:': 'Alkaline', 'Product Weight:': '2.434oz', 'Warranty:': 'Battery Junction 30-Day Warranty', 'Country of Origin:': 'CN', 'Battery Capacity:': 'Alkaline Battery, Capacity May VarymAh', 'Packaging:': 'Retail Packaging', 'Battery Terminal Type:': 'Button Top', 'UPC:': '041333214016', 'Battery Size:': 'C', 'MPN:': 'DURACELL-MN1400B2', 'Product Dimensions:': '1.969"" (L) x 1.031"" (Diameter)', 'Associated Battery Sizes:': '14A, 14D, 814, AL-C, AM2, C, E93, EN93, KC, LR14, LR14XWA, MN1400, MX1400, PC1400, R14, UM2', 'Brand:': 'Duracell'}"
bhphotovideo.com/c/product/1193466-REG/gigabyte_ga_h110m_s2h_gsm_b_motherboard_for_6th,_:node47e5108fdc6840d920d5296a5132301f,"{'Onboard S/PDIF Header': 'Yes', 'Total Number of PCI Express Slots': '3', 'Number of Total Expansion Slots': '3', 'Maximum Memory': '32 GB', 'Memory Technology': 'DDR4 SDRAM', 'Number of Memory Slots': '2', 'Number of SATA Interfaces': '4', 'Memory Form Factor': 'DIMM UDIMM', 'HDMI': 'Yes', 'VGA': 'Yes', 'Chipset Model': 'H110', 'Processor Socket': 'Socket H4 LGA-1151', 'Chipset Manufacturer': 'Intel', 'Total Processor Supported': '1', 'Number of USB 3.0 Ports': '2', 'Processor Supported': 'Celeron Core i3 Core i5 Core i7 Pentium', 'Number of PCI Express x16 Slots': '1', 'Number of PCI Express x1 Slots': '2', 'Memory Speed Supported': '2.13 GHz', 'Number of Onboard USB 3.0 Ports': '2', 'Total Number of Onboard USB Ports': '6', 'Total Number of USB Ports': '6', 'DVI': 'Yes'}"
bhphotovideo.com/c/product/1348962-REG/silicon_power_sp128gblu3z50v1sbh_128gb_iphone_ipad,_:node50d516c41493688332b58c44eb9d94a,"{'Connector': 'USB Type-A, Lightning', 'Maximum Write Speed': 'Not specified by manufacturer', 'MFi Certification': 'Yes', 'Interface': 'USB 3.0 (5 Gb/s)', 'Material': 'Zinc Alloy', 'Encryption': 'None', 'Resistance': 'Dust, Shock', 'Weight': '0.21 oz / 6 g', 'Operating Temperature': '32 to 158Â°F / 0 to 70Â°C', 'Storage Capacity': '128\xa0GB', 'Dimensions': '1.6 x 0.6 x 0.3"" / 41.7 x 14.3 x 6.6 mm', 'Maximum Read Speed': 'Not specified by manufacturer'}"
budkoo.com/p/2016-newest-asus-156-high-performance-premium-hd-laptop-(intel-quad-core-pentium-n3700-processor-up-to-24-ghz-4gb-ram-500gb-hdd-supermulti-dvd-wifi-hdmi-vga-webcam-windows-10-silver)/57f009063330630003000212/,_:nodea848e51b1ba869c6c4809120eb325aad,"{'Model': 'Asus VivoBook', 'Brand': 'Asus', 'Operating System': 'Windows 10', 'Item Dimensions': '1 x 15 x 4 x 9', 'Color': 'Silver', 'Hardware Platform': 'PC', 'Title': '2016 Newest ASUS 15.6"" High Performance Premium HD Laptop (Intel Quad Core Pentium N3700 Processor up to 2.4 GHz, 4GB RAM, 500GB HDD, SuperMulti DVD, Wifi, HDMI, VGA, Webcam, Windows 10-silver)', 'Ean': '0741271365152', 'Studio': 'Asus', 'Upc List': '889349370810 741271365152', 'Package Dimensions': '3 x 20 x 6 x 12', 'Publisher': 'Asus', 'Ean List': '0741271365152 0889349370810', 'Upc': '889349370810', 'Manufacturer': 'Asus', 'Product Group': 'Personal Computer', 'Binding': 'Personal Computers', 'Label': 'Asus', 'Package Quantity': '1'}"
canadapartsdirect.com/product_info.php?products_id=456949&currency=CAD,_:node96ad8987fb67455e2589ab8dbe1643e6,"{'': '', 'Interface (Detailed)': 'SAS', 'Category': 'IBM HardDrive', 'Generation': 'SAS', 'Spindle Speed': '15000RPM', 'Capacity': '146GB', 'Buffer Size': '8MB', 'Hot Swap': 'Yes', 'Part Number': '43W7482-5Pack', 'Average Latency': '2ms', 'Products ID': '456949', 'Enclosure': 'Internal', 'External Data Transfer Rate': '300MB/s', 'Special Features': 'S.M.A.R.T Technology', 'Seek Time': '3.8ms', 'Sub-Category': '15K', 'HDD Form Factor': '3.5 inches'}"
sillworks.com/canada/product_info.php?products_id=456949&currency=CAD,_:node7fbcc5ad371a268dde32542d55eebb8,"{'': '', 'Interface (Detailed)': 'SAS', 'Average Latency': '2ms', 'Sub-Category': '15K', 'Special Features': 'S.M.A.R.T Technology', 'Category': 'IBM HardDrive', 'Capacity': '146GB', 'Seek Time': '3.8ms', 'Generation': 'SAS', 'Products ID': '456949', 'Part Number': '43W7482-5Pack', 'Enclosure': 'Internal', 'Spindle Speed': '15000RPM', 'Buffer Size': '8MB', 'Hot Swap': 'Yes', 'External Data Transfer Rate': '300MB/s', 'HDD Form Factor': '3.5 inches'}"
harddrivesdirect.com/product_info.php?cPath=&products_id=456949,_:node493a29e051dfbe38765492cfc62215,"{'': '', 'Interface (Detailed)': 'SAS', 'Average Latency': '2ms', 'Sub-Category': '15K', 'Special Features': 'S.M.A.R.T Technology', 'Category': 'IBM HardDrive', 'Capacity': '146GB', 'Seek Time': '3.8ms', 'Generation': 'SAS', 'Products ID': '456949', 'Part Number': '43W7482-5Pack', 'Enclosure': 'Internal', 'Spindle Speed': '15000RPM', 'Buffer Size': '8MB', 'Hot Swap': 'Yes', 'External Data Transfer Rate': '300MB/s', 'HDD Form Factor': '3.5 inches'}"
usapartsdirect.com/product_info.php?cPath=&products_id=456949,_:node416399cec491bbcde352464b79e81b4c,"{'Interface (Detailed)': 'SAS', '': '', 'Part Number': '43W7482-5Pack', 'Buffer Size': '8MB', 'Enclosure': 'Internal', 'Special Features': 'S.M.A.R.T Technology', 'Category': 'IBM HardDrive', 'Spindle Speed': '15000RPM', 'Capacity': '146GB', 'Seek Time': '3.8ms', 'Products ID': '456949', 'Average Latency': '2ms', 'Sub-Category': '15K', 'Generation': 'SAS', 'HDD Form Factor': '3.5 inches', 'Hot Swap': 'Yes', 'External Data Transfer Rate': '300MB/s'}"
canadapartsdirect.com/product_info.php?products_id=458042&currency=CAD,_:nodef341ec95732a191c24a087faf8943c8d,"{'': '', 'Processor Type': 'AMD Opteron', 'Products ID': '458042', 'Process Technology': '45nm', 'Thermal Design Power': '65W', 'Category': 'Proliant Processor', 'L3 Cache': '12MB', 'HyperTransport Speed': '6400MHz', '64-bit Processing': 'Yes', 'Part Number': '601116-B21', 'Sub-Category': 'AMD Opteron', 'Product Type': 'Processor Kit', 'L2 Cache': '6MB', 'Generation': 'G7', 'Processor Qty': '1', 'Processor Core': 'Dodeca-Core', 'Processor Socket': 'Socket G34 LGA-1944', 'Clock Speed': '1.7GHz'}"
harddrivesdirect.com/product_info.php?products_id=458042,_:nodebd3113cda93a76db43db7652ae9fa37,"{'': '', 'Thermal Design Power': '65W', 'Part Number': '601116-B21', 'L2 Cache': '6MB', 'Processor Type': 'AMD Opteron', 'Sub-Category': 'AMD Opteron', 'Processor Socket': 'Socket G34 LGA-1944', 'Clock Speed': '1.7GHz', 'HyperTransport Speed': '6400MHz', 'Product Type': 'Processor Kit', 'L3 Cache': '12MB', 'Processor Qty': '1', 'Processor Core': 'Dodeca-Core', 'Process Technology': '45nm', 'Category': 'Proliant Processor', 'Generation': 'G7', 'Products ID': '458042', '64-bit Processing': 'Yes'}"
sillworks.com/product_info.php?products_id=458042&currency=USD,_:nodee5e5dfe84aa96ed36369a784a2627,"{'': '', 'Processor Type': 'AMD Opteron', 'Part Number': '601116-B21', 'Product Type': 'Processor Kit', 'Category': 'Proliant Processor', 'Thermal Design Power': '65W', 'L3 Cache': '12MB', 'HyperTransport Speed': '6400MHz', '64-bit Processing': 'Yes', 'Products ID': '458042', 'Processor Socket': 'Socket G34 LGA-1944', 'L2 Cache': '6MB', 'Sub-Category': 'AMD Opteron', 'Process Technology': '45nm', 'Processor Qty': '1', 'Clock Speed': '1.7GHz', 'Generation': 'G7', 'Processor Core': 'Dodeca-Core'}"
usapartsdirect.com/canada/product_info.php?products_id=458042,_:node881fc7feec6461e48804bb6dfe32516,"{'Part Number': '601116-B21', 'Category': 'Proliant Processor', 'Generation': 'G7', 'Process Technology': '45nm', 'Processor Qty': '1', 'L3 Cache': '12MB', 'Sub-Category': 'AMD Opteron', '': '', 'Clock Speed': '1.7GHz', 'Thermal Design Power': '65W', 'Processor Core': 'Dodeca-Core', 'Product Type': 'Processor Kit', 'L2 Cache': '6MB', 'Processor Socket': 'Socket G34 LGA-1944', 'HyperTransport Speed': '6400MHz', 'Processor Type': 'AMD Opteron', '64-bit Processing': 'Yes', 'Products ID': '458042'}"
canadapartsdirect.com/product_info.php?products_id=458276&currency=CAD,_:node32285aa5fa67ab80222bc241ac752d2,"{'': '', 'Processor Type': 'Intel Xeon', 'Processor Socket': 'Socket J LGA-771', 'Category': 'Proliant Processor', 'Generation': 'G3', 'Process Technology': '65nm', 'Processor Qty': '1', 'Bus Speed': '1066MHz', 'Product Type': 'Processor', 'Part Number': '442995-B21', 'Products ID': '458276', 'Thermal Design Power': '50W', '64-bit Processing': 'Yes', 'L2 Cache': '8MB', 'Processor Core': 'Quad-Core', 'Sub-Category': 'Intel Xeon', 'Clock Speed': '1.86GHz'}"
sillworks.com/product_info.php?products_id=458276,_:node1fba59501474f40e52d069b454c5f7,"{'': '', 'Part Number': '442995-B21', 'Processor Socket': 'Socket J LGA-771', 'Product Type': 'Processor', 'Process Technology': '65nm', 'Processor Core': 'Quad-Core', 'Bus Speed': '1066MHz', 'Generation': 'G3', 'Sub-Category': 'Intel Xeon', 'Category': 'Proliant Processor', 'Processor Qty': '1', 'Processor Type': 'Intel Xeon', 'Products ID': '458276', 'Thermal Design Power': '50W', 'Clock Speed': '1.86GHz', '64-bit Processing': 'Yes', 'L2 Cache': '8MB'}"
harddrivesdirect.com/product_info.php?products_id=458276,_:nodefb61c154bfd7ef4c83d962932d2b2778,"{'': '', 'Part Number': '442995-B21', 'Processor Socket': 'Socket J LGA-771', 'Product Type': 'Processor', 'Process Technology': '65nm', 'Processor Core': 'Quad-Core', 'Bus Speed': '1066MHz', 'Generation': 'G3', 'Sub-Category': 'Intel Xeon', 'Category': 'Proliant Processor', 'Processor Qty': '1', 'Processor Type': 'Intel Xeon', 'Products ID': '458276', 'Thermal Design Power': '50W', 'Clock Speed': '1.86GHz', '64-bit Processing': 'Yes', 'L2 Cache': '8MB'}"
usapartsdirect.com/canada/product_info.php?products_id=458276,_:node38cd0f58d1e34d18552e2838e67e1,"{'': '', 'Part Number': '442995-B21', 'Processor Socket': 'Socket J LGA-771', 'Product Type': 'Processor', 'Process Technology': '65nm', 'Processor Core': 'Quad-Core', 'Bus Speed': '1066MHz', 'Generation': 'G3', 'Sub-Category': 'Intel Xeon', 'Category': 'Proliant Processor', 'Processor Qty': '1', 'Processor Type': 'Intel Xeon', 'Products ID': '458276', 'Thermal Design Power': '50W', 'Clock Speed': '1.86GHz', '64-bit Processing': 'Yes', 'L2 Cache': '8MB'}"
cclonline.com/product/241769/P200-SINGLE/Mains-Networking/Tenda-P200-200mbps-Mini-PowerLine-Adapter/NET2779/,_:node20ff2ac2ab3319aa25e0b3ebf9a0d46,"{'Condition': 'New', 'Part Number': 'P200-SINGLE', 'EAN': '6932849415018', 'Manufacturer': 'Tenda'}"
cect-shop.com/en/xiaomi-redmi-pro-5-5-inch-oled-2-5d-fhd-3gb-ram-64gb-rom-64-bit-mediatek-mtk6797t-deka-core-2-5ghz-4000mah-4g-lte,_:node7f2444df3d6fa15fb98baf60787f3878,"{'MicroSD / TF memory card (8GB)': 'GBP 4.41', 'MicroSD / TF memory card (32GB)': 'GBP 15.90', 'MicroSD / TF memory card (64GB)': 'GBP 26.51', 'MicroSD / TF memory card (128GB)': 'GBP 39.77', 'MicroSD / TF memory card (16GB)': 'GBP 8.83'}"
databug.com/Dell-Enterprise-HDD-1TB-p/0mt795.htm,_:node436f605259e27cd65839a239787c6,"{'Availability': '24/7/365 - Designed for servers and storage systems', 'Compatible Bay': '1 x internal - 3.5"" SAS/SATA', 'Hot-plug': 'Yes', 'Interface': 'Serial ATA', 'Form Factor': '3.5-inch', 'Native Command Queueing* (NCQ)': 'Yes', 'Multi Drive RAID Support': 'Yes', 'SAS Compliancy': 'Fits in SAS back-plane and supported by SAS Controllers', 'Spindle Speed': '7200-RPM', 'Compatibility': 'Select PowerEdge and PowerVault systems', 'Average Seek Read/Write': '8.5 / 9.5 ms', 'Formatted Capacity': '1 TB', 'Product': 'Enterprise class hard disk drive', 'HD Tray/Carrier': 'Included', 'Average Latency': '4.16 ms', 'Brand': 'Dell', 'Interface Transfer Rate': '3 Gb/s'}"
