Average Seek Time,Battery Capacity,Bus Speed,Cable Length,Cache Memory,Clock Speed,Data Transfer Rate,Height,Input,Length,Memory,Memory Speed,Memory Type,Output Voltage,Power Supply,Price,Reading Speed,Rotational Speed,Screen Size,Storage Capacity,Warranty,Weight,Width,Writing Speed,Resolution
,,,,,,,,,,,,,,,,,,,,,381.36 g,,,
,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,385.89 g,,,
,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,399.50 g,,,
,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,400.00 g,,,
,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,404.04 g,,,
,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,480.00 g,,,
,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,500.00 g,,,
,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,530.00 g,,,
,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,560.00 g,,,
,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,570.00 g,,,
,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,585.47 g,,,
,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,610.00 g,,,
,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,660.00 g,,,
,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,700.00 g,,,
,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,721.55 g,,,
,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,730.00 g,,,
,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,810.00 g,,,
,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,821.00 g,,,
,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,898.45 g,,,
,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,900.00 g,,,
,,,,,,,,,,,,,,,,,,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,930.00 g,,,
,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,000.00 g,,,
,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,002.78 g,,,
,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,100.00 g,,,
,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,129.78 g,,,
,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,200.00 g,,,
,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,220.50 g,,,
,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,280.00 g,,,
,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,311.22 g,,,
,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,430.00 g,,,
,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,451.84 g,,,
,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,492.66 g,,,
,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,500.00 g,,,
,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,501.73 g,,,
,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,510.00 g,,,
,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,530.00 g,,,
,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,583.38 g,,,
,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,600.00 g,,,
,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,620.00 g,,,
,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,628.74 g,,,
,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,630.00 g,,,
,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,650.00 g,,,
,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,700.00 g,,,
,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,780.00 g,,,
,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,810.17 g,,,
,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,900.00 g,,,
,,,,,,,,,,,,,,,,,,,,,3,,,
,,,,,,,,,,,,,,,,,,,,,970.00 g,,,
,,,,,,,,,,,,,,,,,,,,,4,,,
,,,,,,,,,,,,,,,,,,,,,100.00 g,,,
,,,,,,,,,,,,,,,,,,,,,4,,,
,,,,,,,,,,,,,,,,,,,,,200.00 g,,,
,,,,,,,,,,,,,,,,,,,,,4,,,
,,,,,,,,,,,,,,,,,,,,,220.00 g,,,
,,,,,,,,,,,,,,,,,,,,,4,,,
,,,,,,,,,,,,,,,,,,,,,400.00 g,,,
,,,,,,,,,,,,,,,,,,,,,4,,,
,,,,,,,,,,,,,,,,,,,,,420.00 g,,,
,,,,,,,,,,,,,,,,,,,,,4,,,
,,,,,,,,,,,,,,,,,,,,,490.00 g,,,
,,,,,,,,,,,,,,,,,,,,,4,,,
,,,,,,,,,,,,,,,,,,,,,530.00 g,,,
,,,,,,,,,,,,,,,,,,,,,4,,,
,,,,,,,,,,,,,,,,,,,,,535.92 g,,,
,,,,,,,,,,,,,,,,,,,,,4,,,
,,,,,,,,,,,,,,,,,,,,,600.00 g,,,
,,,,,,,,,,,,,,,,,,,,,4,,,
,,,,,,,,,,,,,,,,,,,,,717.36 g,,,
,,,,,,,,,,,,,,,,,,,,,4,,,
,,,,,,,,,,,,,,,,,,,,,762.72 g,,,
,,,,,,,,,,,,,,,,,,,,,4,,,
,,,,,,,,,,,,,,,,,,,,,800.00 g,,,
,,,,,,,,,,,,,,,,,,,,,4,,,
,,,,,,,,,,,,,,,,,,,,,989.51 g,,,
,,,,,,,,,,,,,,,,,,,,,5,,,
,,,,,,,,,,,,,,,,,,,,,000.00 g,,,
,,,,,,,,,,,,,,,,,,,,,5,,,
,,,,,,,,,,,,,,,,,,,,,130.00 g,,,
,,,,,,,,,,,,,,,,,,,,,5,,,
,,,,,,,,,,,,,,,,,,,,,200.00 g,,,
,,,,,,,,,,,,,,,,,,,,,5,,,
,,,,,,,,,,,,,,,,,,,,,250.00 g,,,
,,,,,,,,,,,,,,,,,,,,,5,,,
,,,,,,,,,,,,,,,,,,,,,329.71 g,,,
,,,,,,,,,,,,,,,,,,,,,5,,,
,,,,,,,,,,,,,,,,,,,,,352.39 g,,,
,,,,,,,,,,,,,,,,,,,,,5,,,
,,,,,,,,,,,,,,,,,,,,,402.28 g,,,
,,,,,,,,,,,,,,,,,,,,,5,,,
,,,,,,,,,,,,,,,,,,,,,440.00 g,,,
,,,,,,,,,,,,,,,,,,,,,5,,,
,,,,,,,,,,,,,,,,,,,,,443.10 g,,,
,,,,,,,,,,,,,,,,,,,,,5,,,
,,,,,,,,,,,,,,,,,,,,,470.00 g,,,
,,,,,,,,,,,,,,,,,,,,,5,,,
,,,,,,,,,,,,,,,,,,,,,500.00 g,,,
,,,,,,,,,,,,,,,,,,,,,5,,,
,,,,,,,,,,,,,,,,,,,,,600.00 g,,,
,,,,,,,,,,,,,,,,,,,,,5,,,
,,,,,,,,,,,,,,,,,,,,,601.86 g,,,
,,,,,,,,,,,,,,,,,,,,,5,,,
,,,,,,,,,,,,,,,,,,,,,669.90 g,,,
,,,,,,,,,,,,,,,,,,,,,5,,,
,,,,,,,,,,,,,,,,,,,,,700.00 g,,,
,,,,,,,,,,,,,,,,,,,,,5,,,
,,,,,,,,,,,,,,,,,,,,,896.70 g,,,
,,,,,,,,,,,,,,,,,,,,,6,,,
,,,,,,,,,,,,,,,,,,,,,000.00 g,,,
,,,,,,,,,,,,,,,,,,,,,6,,,
,,,,,,,,,,,,,,,,,,,,,001.02 g,,,
,,,,,,,,,,,,,,,,,,,,,6,,,
,,,,,,,,,,,,,,,,,,,,,050.00 g,,,
,,,,,,,,,,,,,,,,,,,,,6,,,
,,,,,,,,,,,,,,,,,,,,,078.13 g,,,
,,,,,,,,,,,,,,,,,,,,,6,,,
,,,,,,,,,,,,,,,,,,,,,100.00 g,,,
,,,,,,,,,,,,,,,,,,,,,6,,,
,,,,,,,,,,,,,,,,,,,,,350.29 g,,,
,,,,,,,,,,,,,,,,,,,,,6,,,
,,,,,,,,,,,,,,,,,,,,,400.18 g,,,
,,,,,,,,,,,,,,,,,,,,,6,,,
,,,,,,,,,,,,,,,,,,,,,599.76 g,,,
,,,,,,,,,,,,,,,,,,,,,6,,,
,,,,,,,,,,,,,,,,,,,,,600.00 g,,,
,,,,,,,,,,,,,,,,,,,,,6,,,
,,,,,,,,,,,,,,,,,,,,,699.55 g,,,
,,,,,,,,,,,,,,,,,,,,,6,,,
,,,,,,,,,,,,,,,,,,,,,700.00 g,,,
,,,,,,,,,,,,,,,,,,,,,6,,,
,,,,,,,,,,,,,,,,,,,,,713.16 g,,,
,,,,,,,,,,,,,,,,,,,,,6,,,
,,,,,,,,,,,,,,,,,,,,,780.00 g,,,
,,,,,,,,,,,,,,,,,,,,,6,,,
,,,,,,,,,,,,,,,,,,,,,800.00 g,,,
,,,,,,,,,,,,,,,,,,,,,6,,,
,,,,,,,,,,,,,,,,,,,,,803.88 g,,,
,,,,,,,,,,,,,,,,,,,,,6,,,
,,,,,,,,,,,,,,,,,,,,,900.00 g,,,
,,,,,,,,,,,,,,,,,,,,,7,,,
,,,,,,,,,,,,,,,,,,,,,000.00 g,,,
,,,,,,,,,,,,,,,,,,,,,7,,,
,,,,,,,,,,,,,,,,,,,,,100.00 g,,,
,,,,,,,,,,,,,,,,,,,,,7,,,
,,,,,,,,,,,,,,,,,,,,,150.00 g,,,
,,,,,,,,,,,,,,,,,,,,,7,,,
,,,,,,,,,,,,,,,,,,,,,200.00 g,,,
,,,,,,,,,,,,,,,,,,,,,7,,,
,,,,,,,,,,,,,,,,,,,,,210.00 g,,,
,,,,,,,,,,,,,,,,,,,,,7,,,
,,,,,,,,,,,,,,,,,,,,,257.47 g,,,
,,,,,,,,,,,,,,,,,,,,,7,,,
,,,,,,,,,,,,,,,,,,,,,280.00 g,,,
,,,,,,,,,,,,,,,,,,,,,7,,,
,,,,,,,,,,,,,,,,,,,,,400.00 g,,,
,,,,,,,,,,,,,,,,,,,,,7,,,
,,,,,,,,,,,,,,,,,,,,,600.00 g,,,
,,,,,,,,,,,,,,,,,,,,,7,,,
,,,,,,,,,,,,,,,,,,,,,970.00 g,,,
,,,,,,,,,,,,,,,,,,,,,8,,,
,,,,,,,,,,,,,,,,,,,,,000.00 g,,,
,,,,,,,,,,,,,,,,,,,,,8,,,
,,,,,,,,,,,,,,,,,,,,,130.00 g,,,
,,,,,,,,,,,,,,,,,,,,,8,,,
,,,,,,,,,,,,,,,,,,,,,160.00 g,,,
,,,,,,,,,,,,,,,,,,,,,8,,,
,,,,,,,,,,,,,,,,,,,,,200.00 g,,,
,,,,,,,,,,,,,,,,,,,,,8,,,
,,,,,,,,,,,,,,,,,,,,,210.02 g,,,
,,,,,,,,,,,,,,,,,,,,,8,,,
,,,,,,,,,,,,,,,,,,,,,300.00 g,,,
,,,,,,,,,,,,,,,,,,,,,8,,,
,,,,,,,,,,,,,,,,,,,,,346.09 g,,,
,,,,,,,,,,,,,,,,,,,,,8,,,
,,,,,,,,,,,,,,,,,,,,,400.52 g,,,
,,,,,,,,,,,,,,,,,,,,,8,,,
,,,,,,,,,,,,,,,,,,,,,618.25 g,,,
,,,,,,,,,,,,,,,,,,,,,8,,,
,,,,,,,,,,,,,,,,,,,,,980.00 g,,,
,,,,,,,,,,,,,,,,,,,,,9,,,
,,,,,,,,,,,,,,,,,,,,,000.00 g,,,
,,,,,,,,,,,,,,,,,,,,,9,,,
,,,,,,,,,,,,,,,,,,,,,100.00 g,,,
,,,,,,,,,,,,,,,,,,,,,9,,,
,,,,,,,,,,,,,,,,,,,,,200.00 g,,,
,,,,,,,,,,,,,,,,,,,,,9,,,
,,,,,,,,,,,,,,,,,,,,,500.00 g,,,
,,,,,,,,,,,,,,,,,,,,,9,,,
,,,,,,,,,,,,,,,,,,,,,770.00 g,,,
,,,,,,,,,,,,,,,,,,,,,9,,,
,,,,,,,,,,,,,,,,,,,,,880.00 g,,,
,,,,,,,,,,,,,,,,,,,,,9,,,
,,,,,,,,,,,,,,,,,,,,,979.02 g,,,
,,,,,,,,,,,,,,,,,,,,,10,,,
,,,,,,,,,,,,,,,,,,,,,000.00 g,,,
,,,,,,,,,,,,,,,,,,,,,10,,,
,,,,,,,,,,,,,,,,,,,,,001.70 g,,,
,,,,,,,,,,,,,,,,,,,,,10,,,
,,,,,,,,,,,,,,,,,,,,,160.00 g,,,
,,,,,,,,,,,,,,,,,,,,,10,,,
,,,,,,,,,,,,,,,,,,,,,200.00 g,,,
,,,,,,,,,,,,,,,,,,,,,10,,,
,,,,,,,,,,,,,,,,,,,,,600.00 g,,,
,,,,,,,,,,,,,,,,,,,,,10,,,
,,,,,,,,,,,,,,,,,,,,,886.21 g,,,
,,,,,,,,,,,,,,,,,,,,,11,,,
,,,,,,,,,,,,,,,,,,,,,000.00 g,,,
,,,,,,,,,,,,,,,,,,,,,11,,,
,,,,,,,,,,,,,,,,,,,,,022.29 g,,,
,,,,,,,,,,,,,,,,,,,,,11,,,
,,,,,,,,,,,,,,,,,,,,,100.00 g,,,
,,,,,,,,,,,,,,,,,,,,,11,,,
,,,,,,,,,,,,,,,,,,,,,300.00 g,,,
,,,,,,,,,,,,,,,,,,,,,11,,,
,,,,,,,,,,,,,,,,,,,,,339.80 g,,,
,,,,,,,,,,,,,,,,,,,,,11,,,
,,,,,,,,,,,,,,,,,,,,,611.96 g,,,
,,,,,,,,,,,,,,,,,,,,,12,,,
,,,,,,,,,,,,,,,,,,,,,270.00 g,,,
,,,,,,,,,,,,,,,,,,,,,12,,,
,,,,,,,,,,,,,,,,,,,,,301.42 g,,,
,,,,,,,,,,,,,,,,,,,,,13,,,
,,,,,,,,,,,,,,,,,,,,,200.00 g,,,
,,,,,,,,,,,,,,,,,,,,,13,,,
,,,,,,,,,,,,,,,,,,,,,500.00 g,,,
,,,,,,,,,,,,,,,,,,,,,14,,,
,,,,,,,,,,,,,,,,,,,,,333.51 g,,,
,,,,,,,,,,,,,,,,,,,,,14,,,
,,,,,,,,,,,,,,,,,,,,,501.34 g,,,
,,,,,,,,,,,,,,,,,,,,,14,,,
,,,,,,,,,,,,,,,,,,,,,510.00 g,,,
,,,,,,,,,,,,,,,,,,,,,15,,,
,,,,,,,,,,,,,,,,,,,,,800.00 g,,,
,,,,,,,,,,,,,,,,,,,,,15,,,
,,,,,,,,,,,,,,,,,,,,,900.00 g,,,
,,,,,,,,,,,,,,,,,,,,,16,,,
,,,,,,,,,,,,,,,,,,,,,011.80 g,,,
,,,,,,,,,,,,,,,,,,,,,16,,,
,,,,,,,,,,,,,,,,,,,,,587.86 g,,,
,,,,,,,,,,,,,,,,,,,,,17,,,
,,,,,,,,,,,,,,,,,,,,,200.00 g,,,
,,,,,,,,,,,,,,,,,,,,,17,,,
,,,,,,,,,,,,,,,,,,,,,700.00 g,,,
,,,,,,,,,,,,,,,,,,,,,18,,,
,,,,,,,,,,,,,,,,,,,,,600.00 g,,,
,,,,,,,,,,,,,,,,,,,,,19,,,
,,,,,,,,,,,,,,,,,,,,,186.94 g,,,
,,,,,,,,,,,,,,,,,,,,,19,,,
,,,,,,,,,,,,,,,,,,,,,504.46 g,,,
,,,,,,,,,,,,,,,,,,,,,20,,,
,,,,,,,,,,,,,,,,,,,,,411.64 g,,,
,,,,,,,,,,,,,,,,,,,,,20,,,
,,,,,,,,,,,,,,,,,,,,,520.00 g,,,
,,,,,,,,,,,,,,,,,,,,,21,,,
,,,,,,,,,,,,,,,,,,,,,200.00 g,,,
,,,,,,,,,,,,,,,,,,,,,21,,,
,,,,,,,,,,,,,,,,,,,,,454.90 g,,,
,,,,,,,,,,,,,,,,,,,,,21,,,
,,,,,,,,,,,,,,,,,,,,,999.21 g,,,
,,,,,,,,,,,,,,,,,,,,,22,,,
,,,,,,,,,,,,,,,,,,,,,003.75 g,,,
,,,,,,,,,,,,,,,,,,,,,22,,,
,,,,,,,,,,,,,,,,,,,,,679.60 g,,,
,,,,,,,,,,,,,,,,,,,,,23,,,
,,,,,,,,,,,,,,,,,,,,,604.93 g,,,
,,,,,,,,,,,,,,,,,,,,,23,,,
,,,,,,,,,,,,,,,,,,,,,995.02 g,,,
,,,,,,,,,,,,,,,,,,,,,24,,,
,,,,,,,,,,,,,,,,,,,,,090.00 g,,,
,,,,,,,,,,,,,,,,,,,,,24,,,
,,,,,,,,,,,,,,,,,,,,,702.62 g,,,
,,,,,,,,,,,,,,,,,,,,,24,,,
,,,,,,,,,,,,,,,,,,,,,900.00 g,,,
,,,,,,,,,,,,,,,,,,,,,24,,,
,,,,,,,,,,,,,,,,,,,,,947.56 g,,,
,,,,,,,,,,,,,,,,,,,,,25,,,
,,,,,,,,,,,,,,,,,,,,,006.53 g,,,
,,,,,,,,,,,,,,,,,,,,,25,,,
,,,,,,,,,,,,,,,,,,,,,491.87 g,,,
,,,,,,,,,,,,,,,,,,,,,25,,,
,,,,,,,,,,,,,,,,,,,,,900.10 g,,,
,,,,,,,,,,,,,,,,,,,,,27,,,
,,,,,,,,,,,,,,,,,,,,,200.00 g,,,
,,,,,,,,,,,,,,,,,,,,,27,,,
,,,,,,,,,,,,,,,,,,,,,206.45 g,,,
,,,,,,,,,,,,,,,,,,,,,27,,,
,,,,,,,,,,,,,,,,,,,,,215.52 g,,,
,,,,,,,,,,,,,,,,,,,,,27,,,
,,,,,,,,,,,,,,,,,,,,,705.40 g,,,
,,,,,,,,,,,,,,,,,,,,,28,,,
,,,,,,,,,,,,,,,,,,,,,004.77 g,,,
,,,,,,,,,,,,,,,,,,,,,29,,,
,,,,,,,,,,,,,,,,,,,,,200.00 g,,,
,,,,,,,,,,,,,,,,,,,,,29,,,
,,,,,,,,,,,,,,,,,,,,,483.48 g,,,
,,,,,,,,,,,,,,,,,,,,,29,,,
,,,,,,,,,,,,,,,,,,,,,937.07 g,,,
,,,,,,,,,,,,,,,,,,,,,30,,,
,,,,,,,,,,,,,,,,,,,,,844.26 g,,,
,,,,,,,,,,,,,,,,,,,,,30,,,
,,,,,,,,,,,,,,,,,,,,,889.62 g,,,
,,,,,,,,,,,,,,,,,,,,,30,,,
,,,,,,,,,,,,,,,,,,,,,903.22 g,,,
,,,,,,,,,,,,,,,,,,,,,31,,,
,,,,,,,,,,,,,,,,,,,,,706.08 g,,,
,,,,,,,,,,,,,,,,,,,,,31,,,
,,,,,,,,,,,,,,,,,,,,,805.87 g,,,
,,,,,,,,,,,,,,,,,,,,,34,,,
,,,,,,,,,,,,,,,,,,,,,005.79 g,,,
,,,,,,,,,,,,,,,,,,,,,35,,,
,,,,,,,,,,,,,,,,,,,,,407.39 g,,,
,,,,,,,,,,,,,,,,,,,,,37,,,
,,,,,,,,,,,,,,,,,,,,,194.54 g,,,
,,,,,,,,,,,,,,,,,,,,,38,,,
,,,,,,,,,,,,,,,,,,,,,106.26 g,,,
,,,,,,,,,,,,,,,,,,,,,40,,,
,,,,,,,,,,,,,,,,,,,,,823.28 g,,,
,,,,,,,,,,,,,,,,,,,,,42,,,
,,,,,,,,,,,,,,,,,,,,,206.74 g,,,
,,,,,,,,,,,,,,,,,,,,,42,,,
,,,,,,,,,,,,,,,,,,,,,310.00 g,,,
,,,,,,,,,,,,,,,,,,,,,44,,,
,,,,,,,,,,,,,,,,,,,,,007.50 g,,,
,,,,,,,,,,,,,,,,,,,,,44,,,
,,,,,,,,,,,,,,,,,,,,,280.00 g,,,
,,,,,,,,,,,,,,,,,,,,,44,,,
,,,,,,,,,,,,,,,,,,,,,905.61 g,,,
,,,,,,,,,,,,,,,,,,,,,46,,,
,,,,,,,,,,,,,,,,,,,,,207.42 g,,,
,,,,,,,,,,,,,,,,,,,,,47,,,
,,,,,,,,,,,,,,,,,,,,,309.65 g,,,
,,,,,,,,,,,,,,,,,,,,,47,,,
,,,,,,,,,,,,,,,,,,,,,581.80 g,,,
,,,,,,,,,,,,,,,,,,,,,47,,,
,,,,,,,,,,,,,,,,,,,,,627.16 g,,,
,,,,,,,,,,,,,,,,,,,,,49,,,
,,,,,,,,,,,,,,,,,,,,,409.78 g,,,
,,,,,,,,,,,,,,,,,,,,,49,,,
,,,,,,,,,,,,,,,,,,,,,895.12 g,,,
,,,,,,,,,,,,,,,,,,,,,54,,,
,,,,,,,,,,,,,,,,,,,,,430.00 g,,,
,,,,,,,,,,,,,,,,,,,,,55,,,
,,,,,,,,,,,,,,,,,,,,,311.01 g,,,
,,,,,,,,,,,,,,,,,,,,,72,,,
,,,,,,,,,,,,,,,,,,,,,982.95 g,,,
,,,,,,,,,,,,,,,,,,,,,74,,,
,,,,,,,,,,,,,,,,,,,,,978.76 g,,,
,,,,,,,,,,,,,,,,,,,,,85,,,
,,,,,,,,,,,,,,,,,,,,,000.00 g,,,
,,,,,,,,,,,,,,,,,,,,,102,,,
,,,,,,,,,,,,,,,,,,,,,000.00 g,,,
,,,,,,,,,,,,,,,,,,,,,111,,,
,,,,,,,,,,,,,,,,,,,,,820.00 g,,,
,,,,,,,,,,,,,,,,,,,,,113,,,
,,,,,,,,,,,,,,,,,,,,,398.00 g,,,
,,,,,,,,,,,,,,,,,,,,,127,,,
,,,,,,,,,,,,,,,,,,,,,005.76 g,,,
,,,,,,,,,,,,,,,,,,,,,133,,,
,,,,,,,,,,,,,,,,,,,,,809.64 g,,,
,,,,,,,,,,,,,,,,,,,,,216,,,
,,,,,,,,,,,,,,,,,,,,,000.00 g,,,
,,,,,,,,,,,,,,,,,,,,,528,,,
,,,,,,,,,,,,,,,,,,,,,434.68 g,,,
,,,,,,,,,,,,,,,,,,,,,654,,,
,,,,,,,,,,,,,,,,,,,,,986.85 g,,,
